name,caloriesPer100g,proteinPer100g,animalProteinPer100g,plantProteinPer100g,fatPer100g,carbPer100g,fiberPer100g,note,isCustom,isCombined,units,micronutrients
菠菜,24,2.6,0,2.6,0.3,1.7,2.8,富含叶酸、钾、铁（建议焯水去除草酸）,false,false,[{"name":"克","grams":1,"isBase":true}],[]
生菜(圆/罗马),15,1.2,0,1.2,0.2,1.7,1.2,水分高，钾和维生素K丰富，适合生食,false,false,[{"name":"克","grams":1,"isBase":true}],[]
娃娃菜,13,1.0,0,1.0,0.2,1.4,1.0,口感甜，富含钾和叶酸,false,false,[{"name":"克","grams":1,"isBase":true}],[]
油麦菜,15,1.4,0,1.4,0.4,0.6,1.5,维生素A前体和钙较高，净碳水极低,false,false,[{"name":"克","grams":1,"isBase":true}],[]
毛豆(仅算毛豆仁),131,13.1,0,13.1,6.2,5.9,4.5,优质植物蛋白，剥壳后营养密度高,false,false,[{"name":"克","grams":1,"isBase":true}],[]
豌豆(鲜豌豆粒),81,5.4,0,5.4,0.4,9.3,5.1,淀粉类蔬菜，可替代部分主食,false,false,[{"name":"克","grams":1,"isBase":true}],[]
韭菜,26,2.4,0,2.4,0.4,3.2,1.4,硫化物杀菌，富含膳食纤维,false,false,[{"name":"克","grams":1,"isBase":true}],[]
西兰花,34,2.8,0,2.8,0.4,4.0,2.6,十字花科之王，富含抗氧化物质、维C极高,false,false,[{"name":"克","grams":1,"isBase":true}],[]
白花菜(菜花),25,2.0,0,2.0,0.2,2.9,2.0,净碳水低，适合打碎做成“伪炒饭”替代主食,false,false,[{"name":"克","grams":1,"isBase":true}],[]
圆白菜(包菜),25,1.3,0,1.3,0.2,3.3,2.5,胃黏膜友好(含维生素U),false,false,[{"name":"克","grams":1,"isBase":true}],[]
大白菜,16,1.2,0,1.2,0.2,2.2,1.0,水分大，百搭蔬菜，热量极低,false,false,[{"name":"克","grams":1,"isBase":true}],[]
芦笋,20,2.2,0,2.2,0.1,2.0,1.8,富含天冬酰胺(利尿去水肿)、叶酸,false,false,[{"name":"克","grams":1,"isBase":true}],[]
圣女果,22,1.0,0,1.0,0.2,3.3,1.5,维生素C和果糖略高于大番茄,false,false,[{"name":"克","grams":1,"isBase":true}],[]
大番茄,18,0.9,0,0.9,0.2,2.7,1.2,富含番茄红素(熟吃或加点油吸收更好),false,false,[{"name":"克","grams":1,"isBase":true}],[]
普通胡萝卜,41,0.9,0,0.9,0.2,6.7,2.8,β-胡萝卜素(护眼)极高，熟吃吸收好,false,false,[{"name":"克","grams":1,"isBase":true}],[]
干制裙带菜,138,14.0,0,14.0,1.5,9.8,32.0,(干重) 含极高碘、钙、海藻酸(极强饱腹感),false,false,[{"name":"克","grams":1,"isBase":true}],[]
干制黑木耳,265,10.6,0,10.6,1.2,35.3,29.9,(干重) 铁元素和可溶性膳食纤维极高（润肠通便）,false,false,[{"name":"克","grams":1,"isBase":true}],[]
干切香菇片,274,20.0,0,20.0,1.2,34.4,31.6,(干重) 蛋白质极高，富含香菇多糖、维生素D前体,false,false,[{"name":"克","grams":1,"isBase":true}],[]
鲜金针菇,32,2.7,0,2.7,0.2,4.6,2.7,多糖丰富，含抗性膳食纤维（不易被消化）,false,false,[{"name":"克","grams":1,"isBase":true}],[]
鲜海鲜菇/白玉菇,30,3.0,0,3.0,0.3,2.5,2.5,鲜味氨基酸丰富，低碳水好物,false,false,[{"name":"克","grams":1,"isBase":true}],[]
甜玉米粒(鲜),86,3.2,0,3.2,1.2,16.3,2.7,属于全谷物主食，含有叶黄素和玉米黄质,false,false,[{"name":"克","grams":1,"isBase":true}],[]
杏鲍菇,35,3.3,0,3.3,0.4,3.0,3.0,口感似肉，植物蛋白含量在菌类中偏高,false,false,[{"name":"克","grams":1,"isBase":true}],[]
平菇,33,3.3,0,3.3,0.1,3.7,2.3,物美价廉，含多种氨基酸和微量元素,false,false,[{"name":"克","grams":1,"isBase":true}],[]
紫菜(干),260,26.7,0,26.7,1.1,22.9,21.6,(干重) 高碘，富含天然鲜味物质,false,false,[{"name":"克","grams":1,"isBase":true}],[]
土豆(生),77,2.0,0,2.0,0.1,15.9,1.3,优秀的慢碳主食，钾元素极高(利于排钠去水肿),false,false,[{"name":"克","grams":1,"isBase":true}],[]
橘子,43,0.8,0,0.8,0.2,9.0,1.5,维生素C丰富，橘络富含类黄酮,false,false,[{"name":"克","grams":1,"isBase":true}],[]
草莓,32,0.7,0,0.7,0.3,5.6,2.0,低糖低卡的王者，净碳水极低，维C丰富,false,false,[{"name":"克","grams":1,"isBase":true}],[]
蓝莓,57,0.7,0,0.7,0.3,12.0,2.4,富含花青素，超强抗氧化剂，保护视力,false,false,[{"name":"克","grams":1,"isBase":true}],[]
荔枝,66,0.8,0,0.8,0.4,15.2,1.3,高升糖(GI)水果，含果糖高，不宜多吃,false,false,[{"name":"克","grams":1,"isBase":true}],[]
芒果,60,0.8,0,0.8,0.4,13.4,1.6,富含胡萝卜素（维生素A），热带风味,false,false,[{"name":"克","grams":1,"isBase":true}],[]
哈密瓜,34,0.8,0,0.8,0.2,7.2,0.9,热量和净碳均不高，但升糖较快，胜在水分大,false,false,[{"name":"克","grams":1,"isBase":true}],[]
香蕉,89,1.1,0,1.1,0.3,20.4,2.6,快速补充糖分和钾，极佳的运动前后加餐,false,false,[{"name":"克","grams":1,"isBase":true}],[]
维生素D3K2镁三合一,0,0,0,0,0,0,0,胶囊/片剂。按说明书每日服用,false,false,[{"name":"克","grams":1,"isBase":true}],[]
复合B族维生素,0,0,0,0,0,0,0,片剂。通常每日1粒,false,false,[{"name":"克","grams":1,"isBase":true}],[]
柠檬酸钙,0,0,0,0,0,0,0,每次补充建议不超500mg纯钙,false,false,[{"name":"克","grams":1,"isBase":true}],[]
肌酸(一水肌酸),0,0,0,0,0,0,0,每日3-5克（随餐或随碳水服用最佳）,false,false,[{"name":"克","grams":1,"isBase":true}],[]
矿泉水,0,0,0,0,0,0,0,每日建议饮水2-3升。零热量，提供微量矿物质,false,false,[{"name":"克","grams":1,"isBase":true}],[]

